chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,BRAI,CFIN,CIRC,DNC_,DP24,EYE_,JAW_,MO24,MORT,NC24,NC__,OTIC,PE__,PFIN,PIG_,SM24,SNOU,SOMI,SWIM,TRUN,TR__,YSE_
1677,2,B07,1677_2_B07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,D07,1677_2_D07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,E07,1677_2_E07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,E10,1677_2_E10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,E12,1677_2_E12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,F04,1677_2_F04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,F08,1677_2_F08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,F11,1677_2_F11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,H12,1677_2_H12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,A02,1689_1_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,A10,1689_1_A10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,A12,1689_1_A12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,B02,1689_1_B02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,B04,1689_1_B04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,B09,1689_1_B09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,C01,1689_1_C01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,C03,1689_1_C03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,C05,1689_1_C05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,C10,1689_1_C10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,D07,1689_1_D07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,E04,1689_1_E04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F01,1689_1_F01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F02,1689_1_F02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F04,1689_1_F04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F08,1689_1_F08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F09,1689_1_F09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F10,1689_1_F10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,F12,1689_1_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,G01,1689_1_G01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,G02,1689_1_G02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,G04,1689_1_G04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,H02,1689_1_H02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,1,H05,1689_1_H05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,B06,1689_2_B06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,D03,1689_2_D03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,F08,1689_2_F08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,F10,1689_2_F10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,H02,1689_2_H02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1689,2,H07,1689_2_H07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,C01,1694_1_C01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,D06,1694_1_D06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,D11,1694_1_D11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,D12,1694_1_D12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,E07,1694_1_E07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,E12,1694_1_E12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,F12,1694_1_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,G03,1694_1_G03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,G08,1694_1_G08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,G10,1694_1_G10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,G11,1694_1_G11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,G12,1694_1_G12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,H01,1694_1_H01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,H05,1694_1_H05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,H10,1694_1_H10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,1,H12,1694_1_H12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,A12,1694_2_A12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,B03,1694_2_B03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,B04,1694_2_B04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,D08,1694_2_D08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,D11,1694_2_D11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,E05,1694_2_E05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,E08,1694_2_E08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,E10,1694_2_E10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,E12,1694_2_E12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,G10,1694_2_G10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1694,2,H10,1694_2_H10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A01,1704_1_A01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A02,1704_1_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A03,1704_1_A03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A04,1704_1_A04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A05,1704_1_A05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A07,1704_1_A07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A09,1704_1_A09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,A12,1704_1_A12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,B02,1704_1_B02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,B04,1704_1_B04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,B08,1704_1_B08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,B12,1704_1_B12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,C04,1704_1_C04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,C05,1704_1_C05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,C08,1704_1_C08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,C09,1704_1_C09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,C12,1704_1_C12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,D02,1704_1_D02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,D03,1704_1_D03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,D10,1704_1_D10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E01,1704_1_E01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E02,1704_1_E02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E05,1704_1_E05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E06,1704_1_E06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E10,1704_1_E10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,E12,1704_1_E12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,F02,1704_1_F02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,F04,1704_1_F04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,F05,1704_1_F05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,G01,1704_1_G01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,G02,1704_1_G02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,G05,1704_1_G05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,G07,1704_1_G07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,G12,1704_1_G12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,H03,1704_1_H03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,H04,1704_1_H04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,H06,1704_1_H06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,1,H08,1704_1_H08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A02,1704_2_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A03,1704_2_A03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A04,1704_2_A04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A05,1704_2_A05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A07,1704_2_A07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A09,1704_2_A09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,A10,1704_2_A10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,B08,1704_2_B08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,B09,1704_2_B09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1704,2,D01,1704_2_D01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
