Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
3009,MOV1,log_probit,0.0,NULL,1.008,29.26237662337662,0.0,64.0,4,0,1,0
3009,AUC1,NULL,NULL,NULL,NULL,20.37913481999482,0.0,64.0,5,NULL,NULL,NULL
3012,MOV1,NULL,NULL,NULL,NULL,31.67829230769231,0.0,64.0,5,NULL,NULL,NULL
3012,AUC1,log_logistic,0.003,NULL,1244.119,27.420794235849108,0.0,64.0,3,0,1,1
3022,MOV1,weibull,0.0,0.0,0.059,57.10580622222223,0.0,64.0,2,0,1,0
3022,AUC1,log_probit,0.0,NULL,1.991,40.62582026210826,0.0,64.0,3,0,1,0
3055,MOV1,NULL,NULL,NULL,NULL,18.118292372830485,0.0,64.0,5,NULL,NULL,NULL
3055,AUC1,NULL,NULL,NULL,NULL,10.062100707311474,0.0,64.0,5,NULL,NULL,NULL
3104,MOV1,gamma,0.0,NULL,0.086,0.38380224475997293,0.0,0.64,3,2,1,0
3104,AUC1,probit,0.072,0.051,0.298,0.3497162947937796,0.0,0.64,4,0,0,0
3112,MOV1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
3112,AUC1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
3139,MOV1,NULL,NULL,NULL,NULL,9.346477442597381,0.0,64.0,5,NULL,NULL,NULL
3139,AUC1,NULL,NULL,NULL,NULL,11.953513177477197,0.0,64.0,5,NULL,NULL,NULL
3160,MOV1,NULL,NULL,NULL,NULL,23.405617924678218,0.0,64.0,5,NULL,NULL,NULL
3160,AUC1,NULL,NULL,NULL,NULL,21.00409099634515,0.0,64.0,5,NULL,NULL,NULL
3168,MOV1,NULL,NULL,NULL,NULL,14.658092773166766,0.0,64.0,5,NULL,NULL,NULL
3168,AUC1,NULL,NULL,NULL,NULL,8.770177735945923,0.0,64.0,5,NULL,NULL,NULL
3169,MOV1,NULL,NULL,NULL,NULL,19.47961904761905,0.0,64.0,5,NULL,NULL,NULL
3169,AUC1,NULL,NULL,NULL,NULL,15.20047519792036,0.0,64.0,5,NULL,NULL,NULL
332,MOV1,NULL,NULL,NULL,NULL,22.667355513452065,0.0,64.0,5,NULL,NULL,NULL
332,AUC1,NULL,NULL,NULL,NULL,17.85064049513705,0.0,64.0,5,NULL,NULL,NULL
337,MOV1,log_logistic,0.0,NULL,54.772,31.563705263157896,0.0,64.0,3,0,1,0
337,AUC1,NULL,NULL,NULL,NULL,15.093610025062658,0.0,64.0,5,NULL,NULL,NULL
338,MOV1,NULL,NULL,NULL,NULL,4.411598610421836,0.0,64.0,5,NULL,NULL,NULL
338,AUC1,NULL,NULL,NULL,NULL,0.23724307692307695,0.0,64.0,5,NULL,NULL,NULL
339,MOV1,NULL,NULL,NULL,NULL,29.2331296969697,0.0,64.0,5,NULL,NULL,NULL
339,AUC1,NULL,NULL,NULL,NULL,15.550471527908503,0.0,64.0,5,NULL,NULL,NULL
342,MOV1,quantal_linear,14.309,7.472,94.133,27.870424187290972,0.0,64.0,4,0,0,1
342,AUC1,NULL,NULL,NULL,NULL,20.40671400668896,0.0,64.0,5,NULL,NULL,NULL
355,MOV1,NULL,NULL,NULL,NULL,25.507626399331663,0.0,64.0,5,NULL,NULL,NULL
355,AUC1,NULL,NULL,NULL,NULL,9.884650960735172,0.0,64.0,5,NULL,NULL,NULL
357,MOV1,gamma,0.0,NULL,4196750.405,20.87314285714286,0.0,64.0,4,0,1,1
357,AUC1,NULL,NULL,NULL,NULL,16.321099487179488,0.0,64.0,5,NULL,NULL,NULL
362,MOV1,NULL,NULL,NULL,NULL,35.60889439755647,0.0,64.0,5,NULL,NULL,NULL
362,AUC1,logistic,18.688,11.492,50.939,22.091214815529298,0.0,64.0,4,0,0,0
363,MOV1,quantal_linear,20.198,10.152,132.882,19.284150909160804,0.0,64.0,3,0,0,1
