Chemical_ID,End_Point,BMD_Flag
441,SM24,
441,TCHR,0.0
441,TOT_MORT,0.0
447,ALL_BUT_MORT,0.0
447,ANY120,0.0
447,ANY24,1.0
447,AXIS,1.0
447,BRN_,1.0
447,CRAN,0.0
447,DP24,1.0
447,EDEM,1.0
447,LTRK,1.0
447,MO24,
447,MORT,0.0
447,MUSC,
447,NC24,
447,NC__,
447,SKIN,
447,SM24,
447,TCHR,
447,TOT_MORT,0.0
448,ALL_BUT_MORT,1.0
448,ANY120,0.0
448,ANY24,1.0
448,AXIS,1.0
448,BRN_,1.0
448,CRAN,1.0
448,DP24,
448,EDEM,1.0
448,LTRK,
448,MO24,1.0
448,MORT,
448,MUSC,
448,NC24,
448,NC__,
448,SKIN,
448,SM24,
448,TCHR,1.0
448,TOT_MORT,0.0
470,ALL_BUT_MORT,0.0
470,ANY120,0.0
470,ANY24,
470,AXIS,0.0
470,BRN_,0.0
470,CRAN,0.0
470,DP24,0.0
470,EDEM,0.0
470,LTRK,0.0
470,MO24,
470,MORT,
470,MUSC,1.0
470,NC24,
470,NC__,1.0
470,SKIN,0.0
470,SM24,
470,TCHR,1.0
470,TOT_MORT,
471,ALL_BUT_MORT,0.0
471,ANY120,0.0
471,ANY24,0.0
471,AXIS,0.0
471,BRN_,0.0
471,CRAN,0.0
471,DP24,0.0
471,EDEM,0.0
471,LTRK,0.0
471,MO24,0.0
471,MORT,0.0
471,MUSC,0.0
471,NC24,
471,NC__,
471,SKIN,0.0
471,SM24,1.0
471,TCHR,0.0
471,TOT_MORT,0.0
472,ALL_BUT_MORT,1.0
472,ANY120,0.0
472,ANY24,0.0
472,AXIS,1.0
472,BRN_,1.0
472,CRAN,1.0
472,DP24,1.0
472,EDEM,1.0
472,LTRK,1.0
472,MO24,1.0
472,MORT,0.0
472,MUSC,
472,NC24,
472,NC__,
472,SKIN,1.0
472,SM24,
472,TCHR,
472,TOT_MORT,0.0
481,ALL_BUT_MORT,1.0
481,ANY120,1.0
481,ANY24,1.0
481,AXIS,1.0
481,BRN_,
481,CRAN,
481,DP24,1.0
481,EDEM,
481,LTRK,1.0
481,MO24,1.0
481,MORT,1.0
481,MUSC,
481,NC24,
481,NC__,
481,SKIN,
481,SM24,
481,TCHR,
481,TOT_MORT,1.0
500,ALL_BUT_MORT,-1.0
500,ANY120,0.0
500,ANY24,0.0
500,AXIS,0.0
500,BRN_,0.0
500,CRAN,0.0
500,DP24,0.0
500,EDEM,0.0
500,LTRK,0.0
500,MO24,0.0
500,MORT,0.0
500,MUSC,1.0
500,NC24,
500,NC__,1.0
500,SKIN,0.0
500,SM24,
500,TCHR,0.0
500,TOT_MORT,0.0
501,ALL_BUT_MORT,-1.0
501,ANY120,0.0
501,ANY24,0.0
501,AXIS,
501,BRN_,0.0
501,CRAN,
501,DP24,0.0
501,EDEM,1.0
501,LTRK,
501,MO24,0.0
501,MORT,0.0
501,MUSC,
501,NC24,
501,NC__,
501,SKIN,
501,SM24,
501,TCHR,1.0
501,TOT_MORT,0.0
502,ALL_BUT_MORT,0.0
502,ANY120,0.0
502,ANY24,0.0
502,AXIS,0.0
502,BRN_,0.0
502,CRAN,0.0
502,DP24,0.0
502,EDEM,0.0
502,LTRK,0.0
502,MO24,0.0
502,MORT,0.0
502,MUSC,
