"cas_number","zf.cid","Chemical_ID","chemical_class"
"106-24-1","1900",1900,NA
"548-62-9","1899",1899,NA
"446-72-0","1898",1898,NA
"98-01-1","1890",1890,NA
"129453-61-8","1888",1888,NA
"330198-91-9","1887",1887,NA
"98886-44-3","1872",1872,"Insecticide"
"23422-53-9","1871",1871,NA
"75-12-7","1870",1870,NA
"68157-60-8","1869",1869,NA
"72178-02-0","1868",1868,NA
"133-07-3","1867",1867,"Fungicide"
"59-30-3","1866",1866,NA
"66332-96-5","1863",1863,"Fungicide"
"117337-19-6","1862",1862,"Herbicide"
"13311-84-7","1861",1861,NA
"85509-19-9","1860",1860,"Fungicide"
"81406-37-3","1859",1859,"Herbicide"
"69377-81-7","1858",1858,NA
"59756-60-4","1857",1857,"Herbicide"
"361377-29-9","1856",1856,"Fungicide"
"86-73-7","1855",1855,"PAH_Parent"
"206-44-0","1854",1854,"PAH_Parent"
"2164-17-2","1853",1853,"Herbicide"
"103361-09-7","1852",1852,"Herbicide"
"87546-18-7","1851",1851,"Herbicide"
"98967-40-9","1850",1850,NA
"62924-70-3","1849",1849,"Herbicide"
"188489-07-8","1848",1848,NA
"142459-58-3","1847",1847,"Herbicide"
"131341-86-1","1846",1846,"Fungicide"
"86386-73-4","1845",1845,NA
"79622-59-6","1844",1844,"Fungicide"
"79241-46-6","1843",1843,"Herbicide"
"69806-50-4","1842",1842,NA
"860302-33-6","1830",1830,NA
"120068-37-3","1829",1829,"Insecticide"
"55-38-9","1827",1827,"Insecticide"
"111812-58-9","1826",1826,NA
"39515-41-8","1825",1825,NA
"72490-01-8","1824",1824,NA
"66441-23-4","1823",1823,"Herbicide"
"49562-28-9","1822",1822,NA
"122-14-5","1821",1821,"Insecticide"
"126833-17-8","1820",1820,"Fungicide"
"114369-43-6","1819",1819,NA
