"Project","cas_number","Conc","Link","nGenes"
"HEPG2","116-06-3","0.625uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",40
"HEPG2","116-06-3","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",48
"HEPG2","116-06-3","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",36
"HEPG2","116-06-3","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",39
"HEPG2","116-06-3","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",40
"HEPG2","116-06-3","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=116-06-3&stat=gene_expression",46
"HEPG2","117-79-3","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",168
"HEPG2","117-79-3","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",161
"HEPG2","117-79-3","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",65
"HEPG2","117-79-3","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",67
"HEPG2","117-79-3","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",120
"HEPG2","117-79-3","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-79-3&stat=gene_expression",217
"HEPG2","117-81-7","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",42
"HEPG2","117-81-7","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",35
"HEPG2","117-81-7","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",84
"HEPG2","117-81-7","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",70
"HEPG2","117-81-7","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",33
"HEPG2","117-81-7","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=117-81-7&stat=gene_expression",111
"HEPG2","120-61-6","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",32
"HEPG2","120-61-6","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",37
"HEPG2","120-61-6","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",39
"HEPG2","120-61-6","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",70
"HEPG2","120-61-6","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",65
"HEPG2","120-61-6","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-61-6&stat=gene_expression",50
"HEPG2","120-71-8","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",50
"HEPG2","120-71-8","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",63
"HEPG2","120-71-8","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",45
"HEPG2","120-71-8","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",905
"HEPG2","120-71-8","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",996
"HEPG2","120-71-8","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-71-8&stat=gene_expression",77
"HEPG2","120-83-2","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-83-2&stat=gene_expression",92
"HEPG2","120-83-2","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=120-83-2&stat=gene_expression",55
