SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,water_concentration,water_concentration_unit,bioassay_sample_from_lims,parent_samples_from_lims,child_samples_from_lims
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,479-79-8,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",NA,NA,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,483-65-8,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",2774,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,486-25-9,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",771,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,491-38-3,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1370,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,50-32-8,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1174,237.4363576,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,524-42-5,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",54,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,53-70-3,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1611,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,548-39-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",2601,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,56-55-3,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1161,596.9082499,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,56-55-3,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1171,596.9082499,NA,NA,10OCT18-03-008,NA,NA
